Column1,name,mass,radius,orbital_period,semi_major_axis,eccentricity,angular_distance,inclination,discovered
4800,WASP-36 b,2.279,1.269,1.5373653,0.02624,0,5.80E-05,83.65,2010
4851,WASP-8 b,2.244,1.038,8.158715,0.0801,0.31,0.000921,88.55,2008
3367,Kepler-40 b,2.2,1.17,6.87349,0.08,0,3.00E-05,89.7,2010
611,HD 118203 b,2.173,1.133,6.13498,0.07082,0.316,0.00079,88.75,2005
408,HAT-P-31 b,2.171,1.07,5.005425,0.055,0.245,0.000155,87.1,2011
398,HAT-P-22 b,2.147,1.08,3.21222,0.0414,0.016,0.000505,73.6,2010
399,HAT-P-23 b,2.09,1.368,1.212884,0.0232,0.106,5.90E-05,85.1,2010
4794,WASP-3 b,2.06,1.454,1.8468372,0.0313,0,0.00014,85.06,2007
4831,WASP-61 b,2.06,1.24,3.8559,0.0514,0,0.000107,89.35,2011
389,HAT-P-15 b,1.946,1.072,10.863502,0.0964,0.19,0.000507,89.1,2010
456,HATS-1 b,1.855,1.302,3.446459,0.0444,0.12,0.000147,85.6,2012
413,HAT-P-36 b,1.832,1.264,1.327347,0.0238,0.063,7.50E-05,86,2012
4801,WASP-37 b,1.8,1.16,3.577471,0.04339,0,0.000128,88.78,2010
452,HAT-P-7 b,1.741,1.431,2.204735471,0.0379,0,0.000118,81.1,2008
4818,WASP-5 b,1.637,1.171,1.6284246,0.02729,0,9.20E-05,85.8,2007
4911,XO-4 b,1.616,1.317,4.12473,0.05485,0,0.000189,88.47,2008
4708,WASP-12 b,1.47,1.9,1.09141937,0.02344,0,5.40E-05,83.37,2008
4819,WASP-50 b,1.437,1.138,1.9550959,0.02913,0.009,0.000128,84.74,2011
454,HAT-P-8 b,1.34,1.5,3.0763402,0.0449,0,0.000195,87.8,2008
164,CoRoT-13 b,1.308,0.885,4.0350906,0.051,0,3.90E-05,88.02,2010
4414,OGLE-TR-56 b,1.3,1.2,1.211909,0.0225,0,1.50E-05,78.8,2002
4658,TrES-2 A b,1.253,1.189,2.470613374,0.03555,0,0.000162,83.908,2006
4410,OGLE-TR-113 b,1.24,1.11,1.4324772,0.0229,0,1.50E-05,89.4,2004
4804,WASP-4 b,1.1974,1.3846,1.338231602,0.02312,0.0053,7.70E-05,88.87,2007
4411,OGLE-TR-132 b,1.17,1.23,1.689868,0.0306,0,2.00E-05,83.4,2004
414,HAT-P-37 b,1.169,1.178,2.797436,0.0379,0.058,9.20E-05,86.9,2012
4812,WASP-47 b,1.14243,1.127,4.1591289,0.052,0.0028,0.00026,88.98,2012
815,HD 189733 b,1.138,1.138,2.219,0.031,0,0.001628,85.51,2005
